iter	Passed	Remaining
0	61	60964
1	61	30639
2	61	20557
3	62	15507
4	62	12478
5	63	10462
6	63	9018
7	63	7908
8	64	7075
9	64	6404
10	65	5853
11	65	5381
12	65	4995
13	66	4657
14	66	4369
15	66	4115
16	67	3883
17	67	3685
18	67	3507
19	68	3346
20	68	3201
21	69	3070
22	69	2944
23	69	2834
24	70	2733
25	70	2638
26	70	2552
27	71	2472
28	71	2397
29	71	2325
30	72	2260
31	72	2198
32	73	2144
33	73	2089
34	73	2039
35	74	1989
36	74	1945
37	75	1901
38	75	1860
39	75	1822
40	76	1785
41	76	1749
42	77	1715
43	77	1683
44	77	1652
45	78	1623
46	78	1594
47	79	1568
48	79	1542
49	79	1517
50	80	1492
51	80	1470
52	81	1448
53	81	1427
54	82	1408
55	82	1388
56	82	1369
57	83	1350
58	83	1331
59	83	1314
60	84	1296
61	84	1279
62	84	1263
63	85	1247
64	85	1232
65	86	1218
66	86	1203
67	86	1190
68	87	1177
69	87	1164
70	87	1151
71	88	1139
72	88	1127
73	89	1115
74	89	1103
75	89	1092
76	90	1081
77	90	1070
78	90	1059
79	91	1049
80	91	1040
81	92	1030
82	92	1020
83	92	1012
84	93	1005
85	93	996
86	94	988
87	94	979
88	94	971
89	95	963
90	95	955
91	96	947
92	96	939
93	96	932
94	97	925
95	97	919
96	98	912
97	98	905
98	98	900
99	99	894
100	99	888
101	100	882
102	100	875
103	100	869
104	101	863
105	101	857
106	102	851
107	102	846
108	102	840
109	103	834
110	103	828
111	103	823
112	104	819
113	104	814
114	105	808
115	105	802
116	105	798
117	106	793
118	106	788
119	106	783
120	107	778
121	107	774
122	107	769
123	108	764
124	108	760
125	108	755
126	109	751
127	109	747
128	110	743
129	110	739
130	110	735
131	111	731
132	111	727
133	112	724
134	112	720
135	112	716
136	113	712
137	113	709
138	114	706
139	114	702
140	114	699
141	115	695
142	115	692
143	115	689
144	116	686
145	116	682
146	117	679
147	117	677
148	118	674
149	118	670
150	118	667
151	119	664
152	119	661
153	119	658
154	120	655
155	120	652
156	121	650
157	121	647
158	121	644
159	122	641
160	122	639
161	123	636
162	123	634
163	123	631
164	124	629
165	124	626
166	125	623
167	125	621
168	125	619
169	126	616
170	126	613
171	126	611
172	127	609
173	127	606
174	128	604
175	128	602
176	128	599
177	129	597
178	129	595
179	130	592
180	130	590
181	130	588
182	131	586
183	131	583
184	132	581
185	132	579
186	132	577
187	133	575
188	133	573
189	134	571
190	134	569
191	134	567
192	135	565
193	135	563
194	135	561
195	136	559
196	136	557
197	137	555
198	137	553
199	137	551
200	138	549
201	138	547
202	139	545
203	139	544
204	139	542
205	140	540
206	140	538
207	141	537
208	141	535
209	141	533
210	142	531
211	142	530
212	143	528
213	143	526
214	143	525
215	144	523
216	144	521
217	144	519
218	145	518
219	145	516
220	146	515
221	146	513
222	146	511
223	147	510
224	147	508
225	148	506
226	148	505
227	148	503
228	149	502
